issue_time,target_time,station_id,horizon_hours,pm25_forecast,pm25_lower_ci,pm25_upper_ci,uncertainty,quality_flag,missing_features,units
2024-01-30 23:00:00+05:30,2024-02-01 09:00:00+05:30,ST001,34,46.08175688855029,44.55295688855029,47.610556888550285,0.78,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 10:00:00+05:30,ST001,35,49.37717940029414,47.80917940029414,50.94517940029414,0.8,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 11:00:00+05:30,ST001,36,47.166112794604366,45.55891279460437,48.773312794604365,0.82,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 12:00:00+05:30,ST001,37,44.629094245803344,42.982694245803344,46.275494245803344,0.84,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 13:00:00+05:30,ST001,38,42.75920982366648,41.07360982366648,44.44480982366648,0.86,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 14:00:00+05:30,ST001,39,39.27074281349485,37.54594281349485,40.99554281349485,0.88,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 15:00:00+05:30,ST001,40,41.76262361232981,39.99862361232981,43.526623612329814,0.9,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 16:00:00+05:30,ST001,41,42.49290362080598,40.689703620805986,44.29610362080598,0.92,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 17:00:00+05:30,ST001,42,41.66178307407656,39.81938307407656,43.50418307407656,0.94,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 18:00:00+05:30,ST001,43,42.73545739408944,40.85385739408944,44.617057394089436,0.96,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 19:00:00+05:30,ST001,44,44.533123238664366,42.612323238664366,46.453923238664366,0.98,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 20:00:00+05:30,ST001,45,43.296982946495525,41.336982946495525,45.256982946495526,1.0,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 21:00:00+05:30,ST001,46,42.73876204762213,40.73956204762213,44.73796204762213,1.02,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 22:00:00+05:30,ST001,47,46.972465343746734,44.93406534374673,49.01086534374674,1.04,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 23:00:00+05:30,ST001,48,45.28054731467494,43.202947314674944,47.35814731467494,1.06,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 00:00:00+05:30,ST001,49,50.23020906000617,48.11340906000617,52.347009060006165,1.08,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 01:00:00+05:30,ST001,50,48.58232442578789,46.42632442578789,50.73832442578789,1.1,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 02:00:00+05:30,ST001,51,47.94955011255241,45.75435011255241,50.14475011255241,1.12,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 03:00:00+05:30,ST001,52,49.584670482220496,47.350270482220495,51.819070482220496,1.1400000000000001,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 04:00:00+05:30,ST001,53,50.124785140165756,47.851185140165754,52.39838514016576,1.1600000000000001,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 05:00:00+05:30,ST001,54,50.15935341413485,47.846553414134846,52.47215341413485,1.1800000000000002,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 06:00:00+05:30,ST001,55,50.91260192835898,48.56060192835898,53.264601928358985,1.2000000000000002,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 07:00:00+05:30,ST001,56,48.68370850725009,46.29250850725009,51.074908507250086,1.2200000000000002,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 08:00:00+05:30,ST001,57,49.329468603389614,46.899068603389615,51.75986860338961,1.2400000000000002,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 09:00:00+05:30,ST001,58,49.60117838534878,47.13157838534878,52.07077838534878,1.26,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 10:00:00+05:30,ST001,59,49.1601111331361,46.6513111331361,51.6689111331361,1.28,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 11:00:00+05:30,ST001,60,46.97545918517265,44.42745918517265,49.523459185172655,1.3,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 12:00:00+05:30,ST001,61,45.048068754508016,42.46086875450801,47.63526875450802,1.32,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 13:00:00+05:30,ST001,62,42.288699491128895,39.66229949112889,44.9150994911289,1.34,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 14:00:00+05:30,ST001,63,44.28133032700154,41.61573032700154,46.94693032700154,1.36,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 15:00:00+05:30,ST001,64,43.31211175354992,40.60731175354992,46.01691175354992,1.3800000000000001,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 16:00:00+05:30,ST001,65,39.158375195068984,36.414375195068985,41.902375195068984,1.4000000000000001,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 17:00:00+05:30,ST001,66,41.85772691896885,39.07452691896885,44.64092691896885,1.4200000000000002,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 18:00:00+05:30,ST001,67,46.24114436544006,43.418744365440055,49.06354436544006,1.4400000000000002,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 19:00:00+05:30,ST001,68,41.73366053038966,38.87206053038966,44.595260530389666,1.4600000000000002,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 20:00:00+05:30,ST001,69,44.34269681203767,41.44189681203767,47.24349681203768,1.4800000000000002,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 21:00:00+05:30,ST001,70,47.05064181904033,44.11064181904033,49.99064181904033,1.5000000000000002,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 22:00:00+05:30,ST001,71,47.828718809214685,44.849518809214686,50.807918809214684,1.52,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 23:00:00+05:30,ST001,72,48.01082473842199,44.99242473842199,51.02922473842199,1.54,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 00:00:00+05:30,ST002,1,65.29378127292044,65.05858127292043,65.52898127292045,0.12000000000000001,ok,0,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 01:00:00+05:30,ST002,2,66.72196675562043,66.44756675562043,66.99636675562043,0.14,degraded,1,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 02:00:00+05:30,ST002,3,59.13853782387609,58.82493782387609,59.45213782387609,0.16,degraded,2,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 03:00:00+05:30,ST002,4,60.87918810848199,60.52638810848199,61.23198810848199,0.18,degraded,2,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 04:00:00+05:30,ST002,5,59.91755754607988,59.525557546079874,60.30955754607988,0.2,degraded,2,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 05:00:00+05:30,ST002,6,60.13833215396863,59.70713215396864,60.56953215396863,0.22,degraded,2,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 06:00:00+05:30,ST002,7,60.114394932121385,59.64399493212139,60.58479493212138,0.24000000000000002,degraded,2,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 07:00:00+05:30,ST002,8,59.411952423161175,58.902352423161176,59.921552423161174,0.26,degraded,2,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 08:00:00+05:30,ST002,9,58.67038089041283,58.12158089041283,59.21918089041283,0.28,degraded,2,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 09:00:00+05:30,ST002,10,61.02529135650915,60.43729135650915,61.61329135650915,0.30000000000000004,degraded,2,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 10:00:00+05:30,ST002,11,58.473162916239815,57.84596291623981,59.10036291623982,0.32,degraded,2,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 11:00:00+05:30,ST002,12,58.06009026989895,57.39369026989895,58.72649026989895,0.33999999999999997,degraded,2,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 12:00:00+05:30,ST002,13,57.375533274709674,56.66993327470968,58.08113327470967,0.36,degraded,2,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 13:00:00+05:30,ST002,14,57.52925250812062,56.78445250812062,58.27405250812062,0.38,degraded,2,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 14:00:00+05:30,ST002,15,55.81702745592327,55.03302745592327,56.601027455923266,0.4,degraded,2,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 15:00:00+05:30,ST002,16,57.20747264442056,56.38427264442056,58.03067264442056,0.42000000000000004,degraded,2,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 16:00:00+05:30,ST002,17,54.773192454654385,53.910792454654384,55.635592454654386,0.44000000000000006,degraded,2,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 17:00:00+05:30,ST002,18,55.04187404550681,54.14027404550681,55.94347404550681,0.45999999999999996,degraded,2,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 18:00:00+05:30,ST002,19,52.915663962864976,51.97486396286497,53.85646396286498,0.48,degraded,2,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 19:00:00+05:30,ST002,20,57.984084958361734,57.00408495836174,58.96408495836173,0.5,degraded,2,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 20:00:00+05:30,ST002,21,55.741941325422864,54.72274132542287,56.76114132542286,0.52,degraded,2,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 21:00:00+05:30,ST002,22,58.01461098433528,56.95621098433528,59.073010984335276,0.54,degraded,2,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 22:00:00+05:30,ST002,23,58.45304473013162,57.35544473013162,59.55064473013162,0.56,degraded,2,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 23:00:00+05:30,ST002,24,57.4967764175981,56.3599764175981,58.6335764175981,0.58,degraded,3,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 00:00:00+05:30,ST002,25,56.84491017759813,55.66891017759813,58.02091017759813,0.6,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 01:00:00+05:30,ST002,26,57.69446830442368,56.47926830442368,58.90966830442368,0.62,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 02:00:00+05:30,ST002,27,57.808503597787904,56.55410359778791,59.0629035977879,0.64,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 03:00:00+05:30,ST002,28,56.83933842262471,55.54573842262471,58.132938422624704,0.66,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 04:00:00+05:30,ST002,29,58.51680788835128,57.18400788835128,59.84960788835128,0.6799999999999999,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 05:00:00+05:30,ST002,30,60.156097832459416,58.784097832459416,61.528097832459416,0.7,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 06:00:00+05:30,ST002,31,59.028954280296745,57.617754280296744,60.440154280296746,0.72,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 07:00:00+05:30,ST002,32,59.79131843268438,58.340918432684376,61.24171843268438,0.74,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 08:00:00+05:30,ST002,33,59.58769083518014,58.09809083518014,61.07729083518014,0.76,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 09:00:00+05:30,ST002,34,56.49499979323419,54.966199793234196,58.02379979323419,0.78,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 10:00:00+05:30,ST002,35,59.6078319375319,58.0398319375319,61.175831937531896,0.8,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 11:00:00+05:30,ST002,36,56.34429588351366,54.73709588351366,57.95149588351366,0.82,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 12:00:00+05:30,ST002,37,55.75400018991115,54.10760018991115,57.40040018991115,0.84,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 13:00:00+05:30,ST002,38,54.21204768689282,52.526447686892816,55.89764768689282,0.86,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 14:00:00+05:30,ST002,39,51.55198264433172,49.82718264433172,53.276782644331725,0.88,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 15:00:00+05:30,ST002,40,53.2111124090726,51.447112409072595,54.9751124090726,0.9,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 16:00:00+05:30,ST002,41,53.65861314686748,51.855413146867484,55.46181314686748,0.92,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 17:00:00+05:30,ST002,42,53.09960648074934,51.25720648074934,54.942006480749335,0.94,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 18:00:00+05:30,ST002,43,54.1888219627185,52.3072219627185,56.0704219627185,0.96,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 19:00:00+05:30,ST002,44,56.62801638965568,54.70721638965568,58.54881638965568,0.98,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 20:00:00+05:30,ST002,45,54.84780599500237,52.88780599500237,56.80780599500237,1.0,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 21:00:00+05:30,ST002,46,54.229175620363904,52.2299756203639,56.228375620363906,1.02,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 22:00:00+05:30,ST002,47,57.88200053703283,55.84360053703283,59.92040053703283,1.04,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 23:00:00+05:30,ST002,48,56.32567145319177,54.24807145319177,58.40327145319176,1.06,degraded,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 00:00:00+05:30,ST002,49,58.43430287080228,56.31750287080228,60.551102870802275,1.08,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 01:00:00+05:30,ST002,50,57.176570811693935,55.020570811693936,59.332570811693934,1.1,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 02:00:00+05:30,ST002,51,56.86883262392286,54.67363262392286,59.06403262392286,1.12,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 03:00:00+05:30,ST002,52,58.60717793835374,56.37277793835374,60.841577938353744,1.1400000000000001,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 04:00:00+05:30,ST002,53,59.99583574890215,57.72223574890215,62.269435748902154,1.1600000000000001,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 05:00:00+05:30,ST002,54,59.91983665879153,57.60703665879153,62.232636658791535,1.1800000000000002,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 06:00:00+05:30,ST002,55,60.704282704351264,58.35228270435127,63.05628270435126,1.2000000000000002,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 07:00:00+05:30,ST002,56,57.58931121600542,55.19811121600542,59.98051121600542,1.2200000000000002,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 08:00:00+05:30,ST002,57,58.294631216690725,55.864231216690726,60.725031216690724,1.2400000000000002,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 09:00:00+05:30,ST002,58,59.619055206830524,57.149455206830524,62.08865520683052,1.26,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 10:00:00+05:30,ST002,59,58.18955383091753,55.68075383091753,60.69835383091753,1.28,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 11:00:00+05:30,ST002,60,55.929627784821484,53.38162778482148,58.477627784821486,1.3,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 12:00:00+05:30,ST002,61,55.392726539612774,52.80552653961277,57.97992653961278,1.32,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 13:00:00+05:30,ST002,62,53.432359005296455,50.80595900529646,56.05875900529645,1.34,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 14:00:00+05:30,ST002,63,56.02701907197555,53.361419071975554,58.69261907197555,1.36,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 15:00:00+05:30,ST002,64,53.94227281365193,51.237472813651934,56.64707281365193,1.3800000000000001,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 16:00:00+05:30,ST002,65,51.16916098955452,48.42516098955452,53.91316098955452,1.4000000000000001,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 17:00:00+05:30,ST002,66,53.30621571571164,50.52301571571164,56.08941571571164,1.4200000000000002,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 18:00:00+05:30,ST002,67,56.42004052726298,53.597640527262975,59.24244052726298,1.4400000000000002,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 19:00:00+05:30,ST002,68,53.41861464741304,50.557014647413034,56.28021464741304,1.4600000000000002,uncertain,4,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 20:00:00+05:30,ST002,69,55.17515544883933,52.27435544883933,58.07595544883932,1.4800000000000002,uncertain,4,ug/m3
