issue_time,target_time,station_id,horizon_hours,pm25_forecast,pm25_lower_ci,pm25_upper_ci,uncertainty,quality_flag,missing_features,model_agreement,variability_added,units
2024-01-31 00:00:00+05:30,2024-01-31 01:00:00+05:30,ST001,1,38.564981903130736,-24.912382747366145,102.04234655362762,32.3864105359678,uncertain,4,14.81071303943181,5.37569749653599,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 02:00:00+05:30,ST001,2,32.16278926462948,-16.30370191921218,80.62928044847115,24.72780162440901,uncertain,3,12.746299620432225,0.5815020039767859,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 03:00:00+05:30,ST001,3,24.029637575912464,-43.11293957197357,91.17221472379849,34.25641691218675,uncertain,3,11.695979920049584,10.960436992137165,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 04:00:00+05:30,ST001,4,121.54286441331314,-60.470503518922584,303.5562323455489,92.86396323073251,degraded,2,63.55087656105189,18.51308666968062,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 05:00:00+05:30,ST001,5,85.0994799315475,-87.77244557122648,257.97140543432147,88.19996199121123,degraded,2,64.4135309673125,12.78643102389873,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 06:00:00+05:30,ST001,6,136.9825701848481,-37.04788826906193,311.0130286387581,88.79105023158675,degraded,2,59.96149589073195,17.629554340854792,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 07:00:00+05:30,ST001,7,147.36942821622148,7.988852803559894,286.75000362888306,71.11253847584774,degraded,2,59.66570059746789,0.0468378783798435,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 08:00:00+05:30,ST001,8,148.66393864614372,8.683604475636656,288.64427281665075,71.41853784209545,degraded,2,42.64063890674531,17.17789893535014,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 09:00:00+05:30,ST001,9,185.09843905483362,62.08768046101589,308.10919764865133,62.76059111929476,degraded,2,42.721039428351716,8.239551690943044,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 10:00:00+05:30,ST001,10,142.23026152032952,39.523837144863705,244.93668589579534,52.40123692625807,degraded,2,27.38538038221961,13.015856544038463,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 11:00:00+05:30,ST001,11,183.06902314932782,2.7039474625528044,363.43409883610286,92.022997799375,degraded,2,55.07594856164607,24.747049237728927,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 12:00:00+05:30,ST001,12,151.53151215605158,-35.64647816157316,338.7095024736763,95.49897465184935,degraded,2,58.150310105064406,24.948664546784943,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 13:00:00+05:30,ST001,13,146.15643482402146,-17.37922217900345,309.6920918270464,83.43655969542087,degraded,2,69.92329179453034,0.9132679008905384,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 14:00:00+05:30,ST001,14,139.22359905792644,5.493885872791111,272.95331224306176,68.22944550262007,degraded,2,46.11508450811853,9.314360994501543,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 15:00:00+05:30,ST001,15,139.0177500867531,19.630347987247546,258.40515218625865,60.91193984668651,degraded,2,45.18234279265185,2.7295970540346572,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 16:00:00+05:30,ST001,16,141.41693044721498,-2.2792762840973637,285.1131371785273,73.31439118944508,degraded,2,36.74957972759493,23.364811461850156,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 17:00:00+05:30,ST001,17,132.12543009616073,-32.591768642128955,296.8426288344504,84.03938711137229,degraded,2,66.75808277814943,3.881304333222852,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 18:00:00+05:30,ST001,18,91.1573147572642,-61.36026447522923,243.67489398975763,77.8150914451497,degraded,2,39.13024376376947,25.08484768138024,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 19:00:00+05:30,ST001,19,128.61512992757915,0.8131716911470903,256.4170881640112,65.2050807328735,degraded,2,36.49654943490219,14.908531297971312,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 20:00:00+05:30,ST001,20,128.34927973838805,-21.601445092144616,278.3000045689207,76.50547185231258,degraded,2,59.584247348859975,2.921224503452605,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 21:00:00+05:30,ST001,21,126.47567590461105,-37.95107073275216,290.90242254197426,83.89119726396082,degraded,2,67.59152738622691,2.099669877733902,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 22:00:00+05:30,ST001,22,97.76462498197321,-153.3747321360666,348.903982100013,128.1323250602244,degraded,2,95.48035582878319,18.251969231441183,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 23:00:00+05:30,ST001,23,116.3774437460328,-44.03513716766592,276.7900246597315,81.8431535273973,degraded,2,65.88097900808053,1.3621745193167658,ug/m3
2024-01-31 00:00:00+05:30,2024-02-01 00:00:00+05:30,ST001,24,99.60122580007237,-102.25756310412814,301.4600147042729,102.9891780123472,degraded,2,65.56006299346453,22.62911501888268,ug/m3
2024-01-31 00:00:00+05:30,2024-02-01 01:00:00+05:30,ST001,25,109.3457591027013,-94.66331875538896,313.35483696079154,104.08626421331135,degraded,2,78.6590469126823,10.427217300629051,ug/m3
2024-01-31 00:00:00+05:30,2024-02-01 02:00:00+05:30,ST001,26,136.05807678068993,-37.06852354132573,309.18467710270556,88.32989812347738,degraded,2,70.18504037064785,2.9448577528295243,ug/m3
