issue_time,target_time,station_id,horizon_hours,pm25_forecast,pm25_lower_ci,pm25_upper_ci,uncertainty,quality_flag,missing_features,ensemble_predictions,model_agreement,units
2024-01-30 23:00:00+05:30,2024-01-31 00:00:00+05:30,ST001,1,53.72614870458938,43.92614902774054,63.52614838143821,4.999999835126956,ok,0,2,0.6406213331592312,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 01:00:00+05:30,ST001,2,50.028748108680574,40.228748567419345,59.8287476499418,4.9999997659496085,ok,0,2,0.6657569013228439,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 02:00:00+05:30,ST001,3,56.14872045008661,46.34872084930191,65.9487200508713,4.999999796318721,ok,0,2,0.28956933945172736,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 03:00:00+05:30,ST001,4,56.026449759776305,46.226450184461484,65.82644933509113,4.999999783323889,ok,0,2,1.3318996952436812,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 04:00:00+05:30,ST001,5,57.402251777948024,47.60225246803352,67.20225108786252,4.999999647915563,ok,0,2,0.5919233532025032,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 05:00:00+05:30,ST001,6,51.09681775270036,41.296818560300636,60.896816945100085,4.999999587959042,ok,0,2,0.8736568783513938,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 06:00:00+05:30,ST001,7,61.10491279292229,51.30491335459597,70.90491223124862,4.999999713431796,ok,0,2,0.39433155878272785,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 07:00:00+05:30,ST001,8,55.46139965912225,45.661400213005905,65.2613991052386,4.999999717406298,ok,0,2,0.261984506015569,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 08:00:00+05:30,ST001,9,63.07707178234462,53.27707211837529,72.87707144631395,4.99999982855578,ok,0,2,0.05591669519863984,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 09:00:00+05:30,ST001,10,39.78295529916641,29.9829557242548,49.58295487407802,4.9999997831181675,ok,0,2,0.22727989906618973,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 10:00:00+05:30,ST001,11,48.48349299701251,38.6834933091511,58.28349268487392,4.999999840745616,ok,0,2,0.23847441327436414,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 11:00:00+05:30,ST001,12,53.25389479940476,43.45389504447552,63.053894554334,4.999999874963898,ok,0,2,0.2984017884802306,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 12:00:00+05:30,ST001,13,56.472597865231016,46.67259818481983,66.2725975456422,4.99999983694448,ok,0,2,0.9924380877247891,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 13:00:00+05:30,ST001,14,50.0629035230603,40.262903741839054,59.862903304281545,4.999999888378189,ok,0,2,1.1847455999403884,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 14:00:00+05:30,ST001,15,39.530835702770396,29.73083622245391,49.33083518308688,4.9999997348553515,ok,0,2,0.9831927057550764,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 15:00:00+05:30,ST001,16,46.10677859756582,36.3067791629455,55.90677803218614,4.999999711540978,ok,0,2,0.1755750564590457,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 16:00:00+05:30,ST001,17,44.59513929816632,34.79514011228486,54.395138484047784,4.9999995846333976,ok,0,2,0.3824564666869108,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 17:00:00+05:30,ST001,18,48.69918960386377,38.89919024059692,58.49918896713062,4.999999675136147,ok,0,2,0.8942223930215683,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 18:00:00+05:30,ST001,19,54.69581369221159,44.89581438093634,64.49581300348683,4.99999964860982,ok,0,2,1.685467895748392,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 19:00:00+05:30,ST001,20,56.24873102568437,46.448731468309596,66.04873058305914,4.999999774170803,ok,0,2,0.6532782727526154,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 20:00:00+05:30,ST001,21,51.750993733969764,41.95099430237718,61.550993165562346,4.9999997099962155,ok,0,2,0.12028996379130774,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 21:00:00+05:30,ST001,22,45.113198830991436,35.31319927219096,54.913198389791916,4.999999774898202,ok,0,2,0.00034263881907747873,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 22:00:00+05:30,ST001,23,56.49650367757651,46.69650399467746,66.29650336047557,4.999999838213804,ok,0,2,0.07538214409268207,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 23:00:00+05:30,ST001,24,55.91112253513399,46.11112280305281,65.71112226721517,4.999999863306725,ok,0,2,0.7409323196161353,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 00:00:00+05:30,ST001,25,58.85233181455891,49.05233206746319,68.65233156165463,4.999999870967204,ok,0,2,0.36032422022420363,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 01:00:00+05:30,ST001,26,55.933465702331496,46.13346600608969,65.7334653985733,4.999999845021329,ok,0,2,0.22802370355089252,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 02:00:00+05:30,ST001,27,49.05558475284031,39.255585048835,58.85558445684562,4.9999998489822985,ok,0,2,0.2698479777723115,ug/m3
2024-01-30 23:00:00+05:30,2024-02-01 03:00:00+05:30,ST001,28,55.709431470121004,45.909431719573405,65.5094312206686,4.9999998727283685,ok,0,2,0.6457838761321604,ug/m3
